Tipo De Casa,Habitaciones,Baños,Ratio Compra/Alquiler,Precio_compra,Precio_alquiler
piso,No especificado,No especificado,inf,13521.485788630906,1077.7272727272727
piso,3,2,inf,13521.485788630906,2302.709497206704
piso,2,2,inf,13521.485788630906,2708.421686746988
piso,5,6,inf,13521.485788630906,2600.0
piso,No especificado,1,13.702211521073558,13521.485788630906,1017.5
piso,3,1,12.368578539358396,13521.485788630906,1145.765100671141
piso,2,1,11.063482208821986,13521.485788630906,1412.2622222222221
piso,4,1,10.982943773796674,13521.485788630906,1355.7142857142858
piso,1,1,9.96121742472195,13521.485788630906,1624.07
piso,4,No especificado,9.833807846277022,13521.485788630906,1375.0
piso,2,No especificado,9.819560142212405,13521.485788630906,1443.2
piso,1,No especificado,9.65423541831734,13521.485788630906,1443.75
piso,1,2,7.9122811959394275,13521.485788630906,2091.464285714286
piso,No especificado,2,7.268653187966578,13521.485788630906,2070.0
piso,3,No especificado,7.014479152353372,13521.485788630906,1941.0
piso,4,2,6.919421389238103,13521.485788630906,2369.5652173913045
piso,No especificado,3,5.408594315452362,13521.485788630906,2500.0
piso,6,2,4.507161929543635,13521.485788630906,3000.0
piso,4,3,4.0367400728899545,13521.485788630906,3684.5081967213114
piso,3,3,4.0363176497979065,13521.485788630906,3783.0701754385964
piso,2,3,3.790859798513723,13521.485788630906,3825.8695652173915
piso,5,3,3.78412657157472,13521.485788630906,3658.3333333333335
piso,6,4,3.457198070956766,13521.485788630906,4050.0
piso,5,2,3.2936952562049644,13521.485788630906,4750.0
piso,5,4,2.730963271720748,13521.485788630906,6295.0
piso,6,5,2.6780720537968836,13521.485788630906,6025.0
piso,3,4,2.5931770430345598,13521.485788630906,6158.333333333333
piso,4,4,2.540944641365515,13521.485788630906,6188.846153846154
piso,5,5,2.025336840877012,13521.485788630906,7950.0
piso,4,5,1.7884270043122599,13521.485788630906,8200.0
piso,6,3,1.3521485788630905,13521.485788630906,10000.0
piso,3,5,1.3521485788630905,13521.485788630906,10000.0
piso,6,7,1.3174781024819857,13521.485788630906,11400.0
piso,9,7,0.901432385908727,13521.485788630906,15000.0
